X4,X5,X6,X7,X8,X9,F1,Sum
2,6,1,3,6,6,-0.106,24
2,3,1,4,6,8,-0.106,24
1,2,0,3,4,4,-1.311,14
3,5,2,3,5,5,-0.227,23
3,4,3,4,6,6,0.135,26
1,3,1,4,7,8,-0.106,24
3,6,3,5,6,5,0.376,28
4,4,1,3,5,4,-0.468,21
3,6,3,5,5,7,0.496,29
3,5,3,4,5,4,-0.106,24
2,4,2,4,6,4,-0.347,22
3,5,3,4,5,4,-0.106,24
3,4,2,6,5,6,0.135,26
5,4,2,5,5,4,0.014,25
5,6,3,4,4,6,0.376,28
3,4,1,4,4,5,-0.468,21
2,4,1,4,7,5,-0.227,23
2,3,2,4,5,5,-0.468,21
4,5,4,4,5,6,0.376,28
4,4,3,3,5,5,-0.106,24
2,3,1,3,5,5,-0.709,19
2,3,2,4,5,7,-0.227,23
3,6,3,3,5,5,0.014,25
3,3,1,6,5,7,0.014,25
2,4,1,5,5,4,-0.468,21
2,4,1,6,6,4,-0.227,23
3,2,1,4,5,5,-0.588,20
2,3,1,3,6,4,-0.709,19
2,3,2,5,6,9,0.255,27
3,3,2,5,5,5,-0.227,23
2,4,2,5,7,6,0.135,26
2,3,1,2,4,3,-1.191,15
3,5,2,3,4,5,-0.347,22
3,4,2,5,4,6,-0.106,24
1,3,1,3,5,5,-0.829,18
2,5,1,3,4,5,-0.588,20
3,4,2,4,4,5,-0.347,22
3,3,2,4,4,5,-0.468,21
4,5,3,6,5,5,0.376,28
3,5,3,3,5,5,-0.106,24
3,4,2,5,5,5,-0.106,24
2,4,2,3,5,5,-0.468,21
2,4,1,4,5,3,-0.709,19
2,3,1,4,6,7,-0.227,23
5,6,2,5,5,7,0.617,30
3,4,1,5,5,5,-0.227,23
1,1,1,3,6,6,-0.829,18
3,3,1,6,8,5,0.135,26
2,2,1,6,6,6,-0.227,23
4,6,2,3,5,6,0.135,26
2,2,0,2,5,6,-0.95,17
2,5,1,4,5,5,-0.347,22
1,2,0,3,4,5,-1.191,15
3,4,2,3,5,4,-0.468,21
2,5,2,4,5,4,-0.347,22
3,5,1,4,6,6,0.014,25
2,3,2,4,5,6,-0.347,22
3,6,2,3,6,5,0.014,25
1,3,1,3,5,5,-0.829,18
1,3,1,4,6,4,-0.709,19
4,6,3,5,6,6,0.617,30
3,5,2,5,5,5,0.014,25
2,3,1,3,4,5,-0.829,18
3,5,2,6,5,6,0.255,27
3,5,1,3,5,5,-0.347,22
4,5,3,6,5,6,0.496,29
3,4,1,4,6,6,-0.106,24
3,3,2,4,6,4,-0.347,22
3,3,2,7,6,4,0.014,25
4,4,3,5,6,5,0.255,27
2,3,1,4,6,5,-0.468,21
1,2,1,4,6,5,-0.709,19
2,3,2,5,7,6,0.014,25
3,6,3,3,5,4,-0.106,24
3,3,1,3,6,5,-0.468,21
2,2,1,3,6,5,-0.709,19
4,5,2,6,6,6,0.496,29
0,2,1,6,4,6,-0.709,19
4,3,2,6,7,6,0.376,28
1,2,2,5,5,5,-0.588,20
2,2,2,6,6,6,-0.106,24
3,5,2,5,6,5,0.135,26
0,2,1,5,5,6,-0.709,19
2,4,1,6,6,5,-0.106,24
1,2,1,5,5,5,-0.709,19
3,6,4,5,7,5,0.617,30
3,4,1,4,5,6,-0.227,23
4,5,2,6,5,5,0.255,27
1,1,1,4,6,5,-0.829,18
4,5,2,4,6,7,0.376,28
3,3,2,7,8,5,0.376,28
2,4,0,5,8,6,0.014,25
1,2,2,4,6,6,-0.468,21
3,3,1,4,5,4,-0.588,20
5,5,2,4,5,4,0.014,25
4,4,2,4,4,5,-0.227,23
3,6,3,6,6,4,0.376,28
5,7,3,5,6,7,0.978,33
2,3,1,6,6,5,-0.227,23
4,5,3,5,5,6,0.376,28
3,3,1,4,5,6,-0.347,22
4,4,2,5,4,7,0.135,26
4,5,2,6,6,4,0.255,27
3,5,3,4,5,5,0.014,25
3,6,5,3,6,6,0.496,29
3,6,2,6,7,6,0.617,30
5,6,3,7,6,5,0.858,32
3,3,2,4,7,7,0.135,26
6,6,4,6,6,8,1.34,36
3,4,1,4,4,3,-0.709,19
4,5,3,3,4,5,-0.106,24
4,4,2,3,6,5,-0.106,24
5,4,2,5,5,5,0.135,26
4,5,2,5,4,6,0.135,26
1,2,1,4,4,6,-0.829,18
4,5,2,5,6,5,0.255,27
3,5,3,5,7,5,0.376,28
3,3,1,6,7,6,0.135,26
2,2,1,4,5,5,-0.709,19
3,3,2,4,6,5,-0.227,23
3,4,1,6,6,7,0.255,27
3,3,2,5,6,3,-0.347,22
4,7,4,4,8,7,1.099,34
2,4,2,4,5,5,-0.347,22
3,5,3,5,7,6,0.496,29
4,4,1,4,7,6,0.135,26
4,6,3,5,6,5,0.496,29
3,5,2,5,5,5,0.014,25
3,6,2,3,5,6,0.014,25
2,3,1,5,6,6,-0.227,23
4,6,3,5,8,7,0.978,33
4,4,2,7,6,7,0.617,30
1,2,1,5,6,5,-0.588,20
2,4,2,5,5,4,-0.347,22
3,5,2,3,6,6,0.014,25
4,6,3,4,6,6,0.496,29
4,6,3,3,5,5,0.135,26
3,5,2,4,5,5,-0.106,24
2,5,3,6,7,7,0.617,30
3,6,3,6,8,7,0.978,33
3,6,2,6,5,6,0.376,28
2,2,0,3,5,6,-0.829,18
4,5,5,4,7,6,0.737,31
6,7,6,5,6,7,1.46,37
3,5,1,2,6,6,-0.227,23
4,5,3,6,5,4,0.255,27
4,5,3,7,6,6,0.737,31
1,3,1,5,5,5,-0.588,20
6,6,4,4,6,5,0.737,31
3,4,1,5,5,5,-0.227,23
5,6,5,6,8,6,1.34,36
3,6,2,6,8,7,0.858,32
3,4,2,5,8,5,0.255,27
1,2,1,5,6,5,-0.588,20
3,3,1,5,6,4,-0.347,22
3,5,2,4,6,5,0.014,25
3,4,1,3,4,4,-0.709,19
3,4,1,3,5,5,-0.468,21
4,5,3,2,4,6,-0.106,24
3,5,2,5,5,4,-0.106,24
3,6,3,5,6,4,0.255,27
3,6,3,4,6,6,0.376,28
6,6,6,6,7,9,1.822,40
3,5,2,4,5,5,-0.106,24
4,5,1,4,6,5,0.014,25
3,5,2,4,5,5,-0.106,24
3,4,2,4,5,4,-0.347,22
0,2,2,4,7,4,-0.709,19
3,3,2,4,5,6,-0.227,23
2,3,1,4,4,4,-0.829,18
5,6,4,2,4,5,0.135,26
2,3,2,3,4,3,-0.95,17
4,6,3,3,6,5,0.255,27
3,6,5,3,5,6,0.376,28
3,4,3,4,6,4,-0.106,24
4,6,5,4,5,6,0.617,30
2,4,2,5,4,3,-0.588,20
4,6,4,4,6,6,0.617,30
5,7,3,5,6,5,0.737,31
2,3,1,5,10,7,0.376,28
3,4,2,3,6,6,-0.106,24
3,5,2,3,6,5,-0.106,24
4,5,3,4,6,5,0.255,27
3,3,1,2,6,5,-0.588,20
1,4,2,4,6,5,-0.347,22
3,5,2,2,5,5,-0.347,22
3,4,2,2,5,4,-0.588,20
3,5,3,5,6,5,0.255,27
3,4,3,4,6,4,-0.106,24
2,3,1,2,4,5,-0.95,17
3,4,1,4,7,6,0.014,25
3,6,2,2,7,6,0.135,26
3,6,3,4,5,6,0.255,27
1,1,0,1,3,3,-1.914,9
2,5,2,4,6,5,-0.106,24
6,6,5,4,5,4,0.617,30
5,5,4,4,5,5,0.376,28
3,6,3,3,5,5,0.014,25
3,3,1,3,4,4,-0.829,18
3,5,1,3,5,6,-0.227,23
5,4,2,4,5,7,0.255,27
4,6,3,3,4,4,-0.106,24
2,3,1,3,4,4,-0.95,17
4,5,3,3,5,4,-0.106,24
3,6,2,3,4,3,-0.468,21
3,6,3,4,6,6,0.376,28
2,4,2,3,4,5,-0.588,20
2,5,2,4,6,4,-0.227,23
2,2,1,2,4,3,-1.311,14
2,4,2,4,5,6,-0.227,23
5,7,3,4,6,6,0.737,31
2,5,2,4,6,6,0.014,25
3,5,2,4,6,6,0.135,26
6,6,4,3,6,6,0.737,31
3,5,1,3,4,4,-0.588,20
3,4,2,3,5,5,-0.347,22
6,7,4,5,5,6,0.978,33
2,4,1,3,4,5,-0.709,19
3,4,2,5,6,5,0.014,25
2,2,1,4,5,5,-0.709,19
2,3,1,2,5,4,-0.95,17
4,4,2,3,4,4,-0.468,21
3,4,2,3,5,6,-0.227,23
5,5,3,4,6,3,0.135,26
3,4,2,5,6,6,0.135,26
3,4,2,4,6,7,0.135,26
3,4,1,4,6,7,0.014,25
3,4,2,5,6,7,0.255,27
3,4,2,3,4,5,-0.468,21
5,6,6,4,5,6,0.858,32
2,3,3,3,5,4,-0.588,20
3,5,3,4,5,5,0.014,25
5,6,4,3,5,5,0.376,28
3,3,2,2,4,5,-0.709,19
2,3,2,3,6,4,-0.588,20
3,5,2,6,5,7,0.376,28
4,6,4,4,6,6,0.617,30
5,6,2,5,6,6,0.617,30
5,6,3,5,7,7,0.978,33
3,6,3,6,8,7,0.978,33
4,6,2,5,6,6,0.496,29
3,6,4,4,5,5,0.255,27
4,6,3,6,5,6,0.617,30
4,7,2,4,5,5,0.255,27
3,4,2,4,5,6,-0.106,24
3,5,3,5,7,6,0.496,29
3,5,3,4,7,4,0.135,26
4,5,3,4,6,6,0.376,28
4,6,3,6,6,5,0.617,30
3,5,2,6,6,7,0.496,29
4,6,2,6,6,6,0.617,30
6,7,5,6,8,7,1.701,39
5,6,4,4,6,6,0.737,31
4,4,5,5,6,4,0.376,28
5,6,5,3,5,5,0.496,29
3,5,3,3,5,5,-0.106,24
2,5,3,4,6,6,0.135,26
6,7,4,5,7,7,1.34,36
3,5,2,4,6,7,0.255,27
3,5,3,3,4,3,-0.468,21
3,6,3,4,5,5,0.135,26
2,6,1,4,9,6,0.376,28
4,5,2,5,6,6,0.376,28
4,6,4,3,5,6,0.376,28
5,5,4,5,5,7,0.737,31
4,6,4,4,6,6,0.617,30
6,7,5,6,6,6,1.34,36
5,6,3,4,5,6,0.496,29
5,6,4,4,6,7,0.858,32
3,4,2,5,6,5,0.014,25
5,5,2,5,5,5,0.255,27
3,5,2,3,7,6,0.135,26
3,5,2,6,7,6,0.496,29
3,5,2,4,5,6,0.014,25
2,4,1,5,7,5,-0.106,24
1,3,2,4,4,4,-0.829,18
3,5,2,3,4,5,-0.347,22
4,5,2,4,5,5,0.014,25
2,3,2,5,7,6,0.014,25
3,5,2,4,6,6,0.135,26
2,5,1,3,6,7,-0.106,24
5,6,3,2,4,4,-0.106,24
3,5,2,3,5,4,-0.347,22
4,5,3,3,5,5,0.014,25
3,4,2,4,7,7,0.255,27
3,4,1,3,5,6,-0.347,22
4,6,5,3,6,5,0.496,29
2,4,2,6,6,6,0.135,26
3,5,3,5,7,6,0.496,29
3,5,1,2,6,5,-0.347,22
3,5,1,6,6,7,0.376,28
1,3,2,4,6,5,-0.468,21
3,4,2,5,6,5,0.014,25
3,5,2,3,5,6,-0.106,24
3,3,2,4,5,6,-0.227,23
3,4,3,3,4,6,-0.227,23
3,4,1,5,6,5,-0.106,24
2,4,1,5,6,6,-0.106,24
4,6,4,4,6,8,0.858,32
4,5,2,5,6,4,0.135,26
4,6,3,4,7,5,0.496,29
